"","Age","Income","Gender","Occupation","Education"
"60",32.1594156874397,81270.9571116493,"Female","Lawyer","Bachelor's Degree"
"61",33.7963948275988,152635.573278967,"Female","Doctor","Master's Degree"
"62",24.976765468907,47541.1496666967,"Male","Accountant","Doctorate"
"63",26.6679261633058,36992.2377620944,"Female","Lawyer","Doctorate"
"64",19.8142461689291,262051.99674712,"Male","Doctor","Doctorate"
"65",19.2820877352442,79157.1205919784,"Male","Lawyer","Master's Degree"
"66",33.0352864140426,114911.379577036,"Female","Accountant","Bachelor's Degree"
"67",34.4820977862943,131828.483701692,"Female","Lawyer","Master's Degree"
"68",30.530042267305,75810.9687145628,"Male","Lawyer","Doctorate"
"69",39.2226746787974,125843.10221568,"Female","Accountant","Master's Degree"
"70",50.5008468562714,118448.226369254,"Male","Software Engineer","Doctorate"
"71",25.0896883394346,89230.9746179153,"Male","Accountant","Doctorate"
"72",6.90831124359187,103264.651676266,"Male","Doctor","Bachelor's Degree"
"73",40.0573852446226,98296.6373130768,"Female","Lawyer","Master's Degree"
"74",22.9079923741761,206422.594950809,"Female","Software Engineer","Master's Degree"
"75",23.1199138353264,62933.1951863586,"Male","Software Engineer","Master's Degree"
"76",40.255713696967,45200.1866462668,"Male","Lawyer","Master's Degree"
"77",27.1522699294899,101889.419958554,"Male","Doctor","Master's Degree"
"78",17.7928228774546,115524.037472157,"Male","Lawyer","Bachelor's Degree"
"79",31.8130347974915,121826.173945509,"Female","Accountant","Bachelor's Degree"
"80",28.6110863756096,77081.7333644447,"Male","Software Engineer","Doctorate"
"81",30.0576418589989,46833.6933014404,"Female","Software Engineer","Bachelor's Degree"
"82",33.8528040112633,163159.258804474,"Female","Lawyer","Doctorate"
"83",26.2933996820759,82517.4806023223,"Female","Doctor","Doctorate"
"84",36.4437654851883,56724.3568673313,"Female","Doctor","Master's Degree"
"85",27.7951343818125,88186.0215529452,"Male","Lawyer","Doctorate"
"86",33.317819639157,90141.2052825724,"Female","Doctor","Master's Degree"
"87",40.9683901314935,155496.014485682,"Female","Software Engineer","Bachelor's Degree"
"88",34.351814908338,104236.86460986,"Male","Accountant","Bachelor's Degree"
"89",26.7406841446877,137702.689259226,"Female","Accountant","Master's Degree"
"90",41.4880761845109,75035.399141387,"Female","Doctor","Bachelor's Degree"
"91",39.9350385596212,110722.26547908,"Male","Doctor","Doctorate"
"92",35.4839695950807,83765.7044254583,"Female","Lawyer","Master's Degree"
"93",32.3873173511144,104729.176408679,"Male","Doctor","Master's Degree"
"94",23.7209392396063,55231.8321011229,"Female","Lawyer","Doctorate"
"95",43.6065244853001,34459.9233336014,"Female","Doctor","Bachelor's Degree"
"96",23.9974041285287,199860.669237398,"Female","Accountant","Bachelor's Degree"
"97",51.8733299301658,130035.441183621,"Female","Software Engineer","Master's Degree"
"98",45.3261062618519,37436.4319187528,"Male","Doctor","Doctorate"
"99",27.6429964089952,69441.704165979,"Male","Lawyer","Bachelor's Degree"
"100",19.7357909969322,40725.9957701345,"Male","Lawyer","Bachelor's Degree"
